locus;location;strand;ATG;end
asl1513;Chr;comp;1774186;1773974
alr1514;Chr;direct;1774486;1774971
all1515;Chr;comp;1775632;1775021
all1517;Chr;comp;1778097;1776670
asl1518;Chr;comp;1779221;1779033
alr1519;Chr;direct;1779326;1780693
alr1520;Chr;direct;1780722;1781381
alr1521;Chr;direct;1781697;1783103
all1522;Chr;comp;1783909;1783136
all1523;Chr;comp;1785154;1783994
alr1524;Chr;direct;1785970;1787400
alr1525;Chr;direct;1787495;1787893
alr1526;Chr;direct;1787950;1788279
alr1527;Chr;direct;1788441;1790168
alr1528;Chr;direct;1790247;1791071
alr1529;Chr;direct;1791068;1791688
all1530;Chr;comp;1792252;1791893
alr1531;Chr;direct;1792330;1793517
asr1532;Chr;direct;1793647;1793877
alr1533;Chr;direct;1794445;1795689
alr1534;Chr;direct;1796090;1796524
alr1535;Chr;direct;1796600;1797319
alr1536;Chr;direct;1797811;1798536
alr1537;Chr;direct;1798659;1799855
alr1538;Chr;direct;1799944;1800861
alr1539;Chr;direct;1800903;1801370
alr1540;Chr;direct;1801473;1801859
all1541;Chr;comp;1802842;1802087
all1542;Chr;comp;1803408;1803037
alr1543;Chr;direct;1803558;1804439
alr1544;Chr;direct;1804613;1804981
alr1545;Chr;direct;1805104;1805487
alr1546;Chr;direct;1806230;1806742
all1547;Chr;comp;1807496;1806822
alr1548;Chr;direct;1807817;1808755
all1549;Chr;comp;1811100;1808845
alr1550;Chr;direct;1811387;1811746
alr1551;Chr;direct;1811833;1813647
alr1552;Chr;direct;1813806;1815458
all1553;Chr;comp;1817292;1815973
alr1554;Chr;direct;1817520;1819346
alr1555;Chr;direct;1820360;1821235
alr1556;Chr;direct;1821309;1822427
all1557;Chr;comp;1823364;1822504
asr1558;Chr;direct;1823804;1824010
asr1559;Chr;direct;1824178;1824429
alr1560;Chr;direct;1824426;1824785
alr1561;Chr;direct;1824897;1827590
alr1562;Chr;direct;1827611;1828645
alr1563;Chr;direct;1828647;1829405
alr1564;Chr;direct;1829479;1831683
alr1565;Chr;direct;1831760;1832377
alr1566;Chr;direct;1832407;1833279
alr1567;Chr;direct;1833470;1834060
alr1568;Chr;direct;1834184;1835185
alr1569;Chr;direct;1835379;1836272
asr1570;Chr;direct;1836368;1836556
alr1571;Chr;direct;1836576;1836881
asr1572;Chr;direct;1836881;1837039
all1573;Chr;comp;1838345;1837761
all1574;Chr;comp;1839092;1838355
alr1575;Chr;direct;1839677;1842820
alr1576;Chr;direct;1843958;1845817
alr1577;Chr;direct;1845982;1847082
alr1578;Chr;direct;1847129;1847605
alr1579;Chr;direct;1847710;1848378
alr1580;Chr;direct;1848817;1849932
alr1581;Chr;direct;1850343;1850732
alr1582;Chr;direct;1850770;1851159
alr1583;Chr;direct;1851188;1852192
alr1584;Chr;direct;1852199;1854151
alr1585;Chr;direct;1854201;1855610
alr1586;Chr;direct;1855846;1858332
all1587;Chr;comp;1860655;1858601
all1588;Chr;comp;1861713;1860808
alr1589;Chr;direct;1861944;1862330
all1590;Chr;comp;1862912;1862487
all1591;Chr;comp;1864433;1863132
asr1592;Chr;direct;1865163;1865456
alr1593;Chr;direct;1865536;1866321
alr1594;Chr;direct;1867058;1870453
alr1595;Chr;direct;1870588;1872465
alr1596;Chr;direct;1872581;1876633
all1597;Chr;comp;1877976;1876897
all1598;Chr;comp;1879398;1878346
all1599;Chr;comp;1880447;1879629
alr1600;Chr;direct;1880483;1881763
all1601;Chr;comp;1882963;1881770
alr1602;Chr;direct;1883375;1884097
alr1603;Chr;direct;1884267;1885136
alr1604;Chr;direct;1885289;1886032
alr1605;Chr;direct;1886166;1887320
all1606;Chr;comp;1888779;1887484
alr1607;Chr;direct;1888855;1889493
all1608;Chr;comp;1890289;1889561
alr1609;Chr;direct;1890543;1891763
all1610;Chr;comp;1892714;1892175
asr1611;Chr;direct;1892945;1893199
alr1612;Chr;direct;1893438;1894235
alr1613;Chr;direct;1894493;1895251
alr1614;Chr;direct;1895200;1897881
alr1615;Chr;direct;1898218;1902564
all1616;Chr;comp;1903579;1902896
all1617;Chr;comp;1905753;1903669
all1618;Chr;comp;1906534;1905965
alr1619;Chr;direct;1906948;1907943
alr1620;Chr;direct;1907944;1908756
alr1621;Chr;direct;1908825;1910528
alr1622;Chr;direct;1910570;1911169
alr1623;Chr;direct;1911264;1912118
alr1624;Chr;direct;1912358;1912666
all1625;Chr;comp;1918270;1912907
all1626;Chr;comp;1921223;1918560
alr1627;Chr;direct;1922149;1924410
alr1628;Chr;direct;1924422;1924985
alr1629;Chr;direct;1925125;1925535
all1630;Chr;comp;1926261;1925875
alr1631;Chr;direct;1926368;1926907
asl1632;Chr;comp;1927133;1927014
alr1633;Chr;direct;1927916;1929334
alr1634;Chr;direct;1929376;1930239
alr1635;Chr;direct;1930270;1931973
all1636;Chr;comp;1936515;1932370
alr1637;Chr;direct;1937098;1937418
all1638;Chr;comp;1938031;1937534
all1639;Chr;comp;1939297;1938254
all1640;Chr;comp;1940145;1939687
all1641;Chr;comp;1942274;1941108
all1642;Chr;comp;1944005;1942314
all1643;Chr;comp;1948864;1944059
all1644;Chr;comp;1950674;1948917
all1645;Chr;comp;1951699;1950938
all1646;Chr;comp;1955501;1951710
all1647;Chr;comp;1959074;1956111
all1648;Chr;comp;1964083;1959320
all1649;Chr;comp;1968810;1964098
asl1650;Chr;comp;1969392;1969135
all1651;Chr;comp;1970363;1969530
alr1652;Chr;direct;1972329;1973108
alr1653;Chr;direct;1973156;1974103
alr1654;Chr;direct;1974360;1975343
alr1655;Chr;direct;1975441;1976973
alr1656;Chr;direct;1977239;1980343
asl1657;Chr;comp;1980689;1980447
asl1658;Chr;comp;1981150;1980869
alr1659;Chr;direct;1981185;1982699
all1660;Chr;comp;1983135;1982833
asr1661;Chr;direct;1983278;1983514
asr1662;Chr;direct;1983540;1983806
all1663;Chr;comp;1985424;1983934
asl1664;Chr;comp;1985744;1985457
alr1665;Chr;direct;1986107;1987522
alr1666;Chr;direct;1987791;1989254
asr1667;Chr;direct;1989466;1989705
alr1668;Chr;direct;1990621;1991904
alr1669;Chr;direct;1991928;1992638
all1670;Chr;comp;1993064;1992717
asl1671;Chr;comp;1993417;1993265
all1672;Chr;comp;1994037;1993588
all1673;Chr;comp;1996223;1994820
alr1674;Chr;direct;1996311;1998554
alr1675;Chr;direct;1998775;1999443
asl1676;Chr;comp;1999760;1999584
alr1677;Chr;direct;2000048;2000890
all1678;Chr;comp;2002442;2000949
asl1679;Chr;comp;2002889;2002635
alr1680;Chr;direct;2003284;2004402
all1681;Chr;comp;2005496;2004495
all1682;Chr;comp;2007011;2005614
all1683;Chr;comp;2008889;2007711
all1684;Chr;comp;2010149;2008956
alr1685;Chr;direct;2010187;2010585
all1686;Chr;comp;2011588;2010677
alr1687;Chr;direct;2011721;2012605
all1688;Chr;comp;2014655;2012625
alr1689;Chr;direct;2014740;2018648
alr1690;Chr;direct;2018667;2019941
all1691;Chr;comp;2020526;2020071
all1692;Chr;comp;2022333;2021083
all1693;Chr;comp;2023772;2022849
all1694;Chr;comp;2024699;2023824
all1695;Chr;comp;2029337;2024988
all1696;Chr;comp;2035591;2029592
all1697;Chr;comp;2037025;2036117
alr1698;Chr;direct;2037306;2037935
all1699;Chr;comp;2038886;2038005
alr1700;Chr;direct;2039242;2040261
all1701;Chr;comp;2041541;2040372
all1702;Chr;comp;2042264;2041836
all1703;Chr;comp;2043941;2042268
all1704;Chr;comp;2044830;2044111
alr1705;Chr;direct;2045637;2046389
alr1706;Chr;direct;2046690;2047346
all1707;Chr;comp;2048124;2047354
all1708;Chr;comp;2049003;2048401
alr1709;Chr;direct;2049503;2050402
all1710;Chr;comp;2053827;2051113
all1711;Chr;comp;2055232;2054033
alr1712;Chr;direct;2056007;2058568
alr1713;Chr;direct;2059272;2059619
asr1714;Chr;direct;2059642;2059914
alr1715;Chr;direct;2060380;2061342
all1716;Chr;comp;2065374;2061373
all1717;Chr;comp;2068170;2066137
alr1718;Chr;direct;2068785;2069153
all1719;Chr;comp;2069911;2069594
asl1720;Chr;comp;2070282;2070004
alr1721;Chr;direct;2070435;2071007
alr1722;Chr;direct;2071069;2072004
all1723;Chr;comp;2072962;2072201
all1724;Chr;comp;2074667;2073264
all1725;Chr;comp;2075402;2074992
alr1726;Chr;direct;2075821;2076342
alr1727;Chr;direct;2076419;2076931
alr1728;Chr;direct;2077564;2078901
all1729;Chr;comp;2079810;2079166
all1730;Chr;comp;2081872;2080295
all1731;Chr;comp;2084497;2082221
all1732;Chr;comp;2085491;2085135
alr1733;Chr;direct;2085574;2085894
asr1734;Chr;direct;2086395;2086676
asl1735;Chr;comp;2087040;2086870
all1736;Chr;comp;2088040;2087345
all1737;Chr;comp;2089074;2088106
all1738;Chr;comp;2090599;2089262
asl1739;Chr;comp;2091047;2090868
alr1740;Chr;direct;2091223;2091621
all1741;Chr;comp;2094455;2091858
alr1742;Chr;direct;2094970;2096871
all1743;Chr;comp;2097995;2097006
alr1744;Chr;direct;2098495;2099649
all1745;Chr;comp;2100587;2099928
alr1746;Chr;direct;2100792;2101340
all1747;Chr;comp;2101801;2101451
all1748;Chr;comp;2103213;2102233
asl1749;Chr;comp;2103760;2103488
all1750;Chr;comp;2104900;2103839
all1751;Chr;comp;2105982;2105011
alr1752;Chr;direct;2106313;2106804
alr1753;Chr;direct;2107191;2108585
all1754;Chr;comp;2109216;2108626
all1755;Chr;comp;2109692;2109294
all1756;Chr;comp;2110583;2109762
all1757;Chr;comp;2111690;2110788
all1758;Chr;comp;2113184;2111793
all1759;Chr;comp;2115299;2113659
all1760;Chr;comp;2116239;2115604
all1761;Chr;comp;2117180;2116428
all1762;Chr;comp;2118518;2117622
all1763;Chr;comp;2119492;2118650
all1764;Chr;comp;2120393;2119743
all1765;Chr;comp;2120983;2120426
all1766;Chr;comp;2122007;2121006
all1767;Chr;comp;2123007;2122000
all1768;Chr;comp;2123997;2123029
all1769;Chr;comp;2124933;2124238
all1770;Chr;comp;2125993;2124971
all1771;Chr;comp;2126767;2126051
all1772;Chr;comp;2131300;2126798
asl1773;Chr;comp;2132310;2132044
all1774;Chr;comp;2133545;2132307
asr1775;Chr;direct;2134245;2134511
all1776;Chr;comp;2136611;2134602
asl1777;Chr;comp;2136766;2136614
asl1778;Chr;comp;2137119;2136883
alr1779;Chr;direct;2137716;2138717
all1780;Chr;comp;2139491;2138754
all1781;Chr;comp;2139991;2139599
all1782;Chr;comp;2142183;2140336
all1783;Chr;comp;2143064;2142459
all1784;Chr;comp;2144085;2143162
alr1785;Chr;direct;2144302;2146761
alr1786;Chr;direct;2147288;2150509
all1787;Chr;comp;2151259;2150636
alr1788;Chr;direct;2151563;2153074
asl1789;Chr;comp;2153627;2153364
alr1790;Chr;direct;2154040;2154381
alr1791;Chr;direct;2154558;2154887
alr1792;Chr;direct;2155111;2155830
alr1793;Chr;direct;2155893;2156765
alr1794;Chr;direct;2156868;2157302
asl1795;Chr;comp;2157650;2157402
alr1796;Chr;direct;2157748;2158170
all1797;Chr;comp;2158950;2158456
alr1798;Chr;direct;2159068;2160261
alr1799;Chr;direct;2160348;2161556
all1800;Chr;comp;2162422;2161850
asr1801;Chr;direct;2162443;2162604
all1802;Chr;comp;2164053;2162719
alr1803;Chr;direct;2164274;2165116
all1804;Chr;comp;2169022;2165159
alr1805;Chr;direct;2170389;2171252
all1806;Chr;comp;2172101;2171316
all1807;Chr;comp;2173023;2172169
alr1808;Chr;direct;2173105;2174061
alr1809;Chr;direct;2174290;2174757
alr1810;Chr;direct;2175579;2176607
all1811;Chr;comp;2178169;2176667
all1812;Chr;comp;2179987;2179610
all1813;Chr;comp;2180291;2179968
all1814;Chr;comp;2181013;2180444
alr1815;Chr;direct;2181136;2181774
all1816;Chr;comp;2182411;2181764
asr1817;Chr;direct;2182675;2182854
asr1818;Chr;direct;2183008;2183193
alr1819;Chr;direct;2183275;2184951
all1820;Chr;comp;2188056;2185027
alr1821;Chr;direct;2188125;2188706
alr1822;Chr;direct;2188887;2189321
all1823;Chr;comp;2190716;2189616
asl1824;Chr;comp;2190994;2190767
asl1825;Chr;comp;2191212;2190994
all1826;Chr;comp;2192003;2191287
alr1827;Chr;direct;2192333;2193754
asr1828;Chr;direct;2193881;2194144
all1829;Chr;comp;2194543;2194148
all1830;Chr;comp;2194864;2194556
all1831;Chr;comp;2196223;2195126
alr1832;Chr;direct;2196519;2197958
alr1833;Chr;direct;2197942;2198874
alr1834;Chr;direct;2199462;2200787
all1835;Chr;comp;2201719;2200898
asr1836;Chr;direct;2201834;2202001
all1837;Chr;comp;2202681;2202019
all1838;Chr;comp;2203259;2202678
asl1839;Chr;comp;2203518;2203240
asl1840;Chr;comp;2203766;2203515
all1841;Chr;comp;2204152;2203763
all1842;Chr;comp;2205576;2204149
all1843;Chr;comp;2205908;2205573
all1844;Chr;comp;2207464;2206295
alr1845;Chr;direct;2207650;2208309
all1846;Chr;comp;2210356;2208314
all1847;Chr;comp;2210933;2210361
all1848;Chr;comp;2211763;2210933
all1849;Chr;comp;2212735;2211917
alr1850;Chr;direct;2212895;2215108
alr1851;Chr;direct;2215300;2216013
alr1852;Chr;direct;2216017;2216646
alr1853;Chr;direct;2216788;2217357
alr1854;Chr;direct;2217387;2217899
alr1855;Chr;direct;2218094;2219854
alr1856;Chr;direct;2220384;2220725
asr1857;Chr;direct;2220890;2221120
alr1858;Chr;direct;2221478;2221837
alr1859;Chr;direct;2221932;2222423
alr1860;Chr;direct;2222954;2223313
all1861;Chr;comp;2224197;2223388
all1862;Chr;comp;2225412;2224411
all1863;Chr;comp;2226725;2225862
all1864;Chr;comp;2227669;2226920
all1865;Chr;comp;2228922;2227714
all1866;Chr;comp;2229278;2228946
alr1867;Chr;direct;2229356;2229694
alr1868;Chr;direct;2229732;2230031
alr1869;Chr;direct;2230179;2232419
alr1870;Chr;direct;2232459;2233508
all1871;Chr;comp;2233935;2233585
all1872;Chr;comp;2235590;2234079
all1873;Chr;comp;2236027;2235680
alr1874;Chr;direct;2236221;2236796
all1875;Chr;comp;2238379;2236871
all1876;Chr;comp;2239769;2238798
alr1877;Chr;direct;2239950;2240411
alr1878;Chr;direct;2240586;2241596
alr1879;Chr;direct;2241717;2243135
all1880;Chr;comp;2244314;2243238
all1881;Chr;comp;2245177;2244533
all1882;Chr;comp;2246052;2245351
alr1883;Chr;direct;2246384;2249968
all1884;Chr;comp;2250735;2250052
alr1885;Chr;direct;2251283;2252302
all1886;Chr;comp;2253362;2252568
all1887;Chr;comp;2254606;2253479
all1888;Chr;comp;2258538;2254768
all1889;Chr;comp;2259315;2258596
alr1890;Chr;direct;2259596;2261176
alr1891;Chr;direct;2261255;2262175
alr1892;Chr;direct;2262339;2262665
all1893;Chr;comp;2263105;2262788
alr1894;Chr;direct;2263478;2264233
all1895;Chr;comp;2265407;2264325
alr1896;Chr;direct;2265567;2267249
all1897;Chr;comp;2268192;2267476
asl1898;Chr;comp;2268510;2268346
asr1899;Chr;direct;2268672;2268905
alr1900;Chr;direct;2268929;2270413
alr1901;Chr;direct;2270591;2271637
all1902;Chr;comp;2272143;2271640
alr1903;Chr;direct;2272772;2277415
all1904;Chr;comp;2280083;2277501
alr1905;Chr;direct;2280690;2281046
alr1906;Chr;direct;2281207;2283624
asr1907;Chr;direct;2283855;2284022
all1908;Chr;comp;2284604;2284032
alr1909;Chr;direct;2285208;2286455
alr1910;Chr;direct;2286783;2287673
alr1911;Chr;direct;2288003;2291566
alr1912;Chr;direct;2291711;2292742
alr1913;Chr;direct;2293110;2294183
all1914;Chr;comp;2297573;2294202
asr1915;Chr;direct;2297885;2298067
all1916;Chr;comp;2299351;2298095
alr1917;Chr;direct;2299476;2299883
alr1918;Chr;direct;2300020;2300793
all1919;Chr;comp;2302639;2300999
alr1920;Chr;direct;2302929;2303669
alr1921;Chr;direct;2303806;2304813
asl1922;Chr;comp;2304960;2304865
alr1923;Chr;direct;2305186;2305788
alr1924;Chr;direct;2305860;2306951
alr1925;Chr;direct;2307770;2308498
alr1926;Chr;direct;2309836;2310426
alr1927;Chr;direct;2310609;2313644
alr1928;Chr;direct;2313735;2315273
alr1929;Chr;direct;2315533;2316381
asl1930;Chr;comp;2316817;2316536
all1931;Chr;comp;2318049;2316967
all1932;Chr;comp;2319348;2318176
asl1933;Chr;comp;2320144;2319911
asl1934;Chr;comp;2320487;2320254
asl1935;Chr;comp;2320830;2320597
asl1936;Chr;comp;2321207;2320962
asl1937;Chr;comp;2321590;2321339
asl1938;Chr;comp;2322421;2322164
all1939;Chr;comp;2324241;2322703
all1940;Chr;comp;2325844;2324258
alr1941;Chr;direct;2325995;2326312
alr1942;Chr;direct;2326285;2326608
all1943;Chr;comp;2327068;2326619
all1944;Chr;comp;2328012;2327191
asr1945;Chr;direct;2328122;2328343
alr1946;Chr;direct;2328360;2329727
all1947;Chr;comp;2330568;2329870
all1948;Chr;comp;2331412;2330672
all1949;Chr;comp;2332505;2331387
all1950;Chr;comp;2333706;2332546
all1951;Chr;comp;2335093;2333777
alr1952;Chr;direct;2335694;2337166
asr1953;Chr;direct;2337336;2337596
alr1954;Chr;direct;2337577;2337993
asr1955;Chr;direct;2338273;2338449
alr1956;Chr;direct;2338809;2339762
alr1957;Chr;direct;2339790;2340206
all1958;Chr;comp;2341294;2340203
alr1959;Chr;direct;2341550;2342335
alr1960;Chr;direct;2342560;2343039
alr1961;Chr;direct;2343117;2343776
asl1962;Chr;comp;2344174;2343878
alr1963;Chr;direct;2344408;2346852
all1964;Chr;comp;2347650;2346940
alr1965;Chr;direct;2347731;2348375
alr1966;Chr;direct;2348635;2351274
alr1967;Chr;direct;2351271;2351717
alr1968;Chr;direct;2351722;2354001
all1969;Chr;comp;2355225;2354011
all1970;Chr;comp;2356125;2355280
all1971;Chr;comp;2356694;2356182
all1972;Chr;comp;2357293;2356724
all1973;Chr;comp;2358189;2357350
all1974;Chr;comp;2361827;2358198
all1975;Chr;comp;2362966;2361824
alr1976;Chr;direct;2363110;2363475
alr1977;Chr;direct;2363478;2364023
alr1978;Chr;direct;2364323;2366203
alr1979;Chr;direct;2366304;2366822
all1980;Chr;comp;2367898;2366837
all1981;Chr;comp;2369402;2368425
alr1982;Chr;direct;2370491;2371444
all1983;Chr;comp;2373879;2371483
all1984;Chr;comp;2374427;2373942
all1985;Chr;comp;2375416;2374532
all1986;Chr;comp;2380185;2379223
all1987;Chr;comp;2382790;2382281
all1988;Chr;comp;2383642;2382860
all1989;Chr;comp;2386004;2383665
all1990;Chr;comp;2386662;2386021
all1991;Chr;comp;2387607;2386735
asl1992;Chr;comp;2387955;2387722
asl1993;Chr;comp;2388230;2388039
asl1994;Chr;comp;2388442;2388272
all1995;Chr;comp;2389132;2388467
all1996;Chr;comp;2389577;2389170
alr1997;Chr;direct;2389848;2390750
alr1998;Chr;direct;2390783;2392150
alr1999;Chr;direct;2392459;2393109
all2000;Chr;comp;2393772;2393179
alr2001;Chr;direct;2394000;2394815
all2002;Chr;comp;2395546;2394959
all2003;Chr;comp;2396214;2395912
all2004;Chr;comp;2398604;2396289
all2005;Chr;comp;2399163;2398711
all2006;Chr;comp;2400602;2399454
all2007;Chr;comp;2401233;2400694
all2008;Chr;comp;2402716;2401466
alr2009;Chr;direct;2403018;2404397
alr2010;Chr;direct;2404812;2405975
all2011;Chr;comp;2407019;2406078
all2012;Chr;comp;2408030;2407023
all2013;Chr;comp;2408755;2408036
alr2014;Chr;direct;2409116;2409568
alr2015;Chr;direct;2409576;2410007
asr2016;Chr;direct;2410218;2410511
all2017;Chr;comp;2411287;2410859
alr2018;Chr;direct;2411491;2412141
alr2019;Chr;direct;2412482;2412910
all2020;Chr;comp;2416619;2413761
all2021;Chr;comp;2418957;2416819
all2022;Chr;comp;2420395;2419028
all2023;Chr;comp;2422502;2420472
asl2024;Chr;comp;2422909;2422616
all2025;Chr;comp;2426482;2423195
all2026;Chr;comp;2427227;2426877
all2027;Chr;comp;2427720;2427385
asl2028;Chr;comp;2428042;2427854
all2029;Chr;comp;2429301;2428039
all2030;Chr;comp;2429759;2429406
all2031;Chr;comp;2430936;2429842
all2032;Chr;comp;2432146;2430974
all2033;Chr;comp;2432942;2432154
all2034;Chr;comp;2434361;2432985
all2035;Chr;comp;2435383;2434538
asr2036;Chr;direct;2435463;2435615
all2037;Chr;comp;2437014;2435914
all2038;Chr;comp;2439359;2437128
all2039;Chr;comp;2440363;2439824
all2040;Chr;comp;2441478;2440360
asr2041;Chr;direct;2442437;2442679
alr2042;Chr;direct;2442745;2444571
alr2043;Chr;direct;2444592;2447324
alr2044;Chr;direct;2447411;2450458
alr2045;Chr;direct;2450627;2451388
alr2046;Chr;direct;2451588;2453909
asl2047;Chr;comp;2454416;2454198
alr2048;Chr;direct;2454647;2455387
alr2049;Chr;direct;2455566;2456030
all2050;Chr;comp;2457728;2456091
alr2051;Chr;direct;2458069;2459898
asl2052;Chr;comp;2460198;2459902
all2053;Chr;comp;2461121;2460573
alr2054;Chr;direct;2461341;2462300
alr2055;Chr;direct;2463196;2463909
all2056;Chr;comp;2465097;2464159
alr2057;Chr;direct;2465228;2466097
all2058;Chr;comp;2467102;2466107
all2059;Chr;comp;2467766;2467173
alr2060;Chr;direct;2467904;2468407
asl2061;Chr;comp;2468754;2468476
all2062;Chr;comp;2469285;2468935
all2063;Chr;comp;2470003;2469353
alr2064;Chr;direct;2470593;2472113
all2065;Chr;comp;2473439;2472477
all2066;Chr;comp;2474260;2473748
all2067;Chr;comp;2474859;2474290
all2068;Chr;comp;2475907;2474972
all2069;Chr;comp;2476388;2476011
all2070;Chr;comp;2477376;2476471
alr2071;Chr;direct;2477674;2478150
all2072;Chr;comp;2479306;2478215
alr2073;Chr;direct;2479892;2481133
alr2074;Chr;direct;2481178;2481588
alr2075;Chr;direct;2481632;2482924
alr2076;Chr;direct;2483211;2484830
all2077;Chr;comp;2485313;2484948
asl2078;Chr;comp;2486144;2485896
alr2079;Chr;direct;2486176;2487936
all2080;Chr;comp;2488394;2487981
alr2081;Chr;direct;2488770;2489213
alr2082;Chr;direct;2489250;2490212
alr2083;Chr;direct;2490339;2490881
all2084;Chr;comp;2492061;2491093
all2085;Chr;comp;2492971;2492054
all2086;Chr;comp;2494804;2493110
alr2087;Chr;direct;2495318;2495629
all2088;Chr;comp;2496681;2495812
all2089;Chr;comp;2497236;2496754
alr2090;Chr;direct;2497473;2499281
all2091;Chr;comp;2500213;2499350
alr2092;Chr;direct;2505711;2506772
alr2093;Chr;direct;2506981;2507844
all2094;Chr;comp;2510021;2508306
all2095;Chr;comp;2514988;2510024
all2096;Chr;comp;2516125;2515433
all2097;Chr;comp;2517777;2516278
all2098;Chr;comp;2518359;2517982
all2099;Chr;comp;2519389;2518619
asl2100;Chr;comp;2519749;2519474
asl2101;Chr;comp;2519996;2519742
all2102;Chr;comp;2521436;2520111
all2103;Chr;comp;2522056;2521463
alr2104;Chr;direct;2522289;2523878
all2105;Chr;comp;2524702;2524079
alr2106;Chr;direct;2524933;2525265
all2107;Chr;comp;2525670;2525290
all2108;Chr;comp;2526278;2525673
all2109;Chr;comp;2526940;2526320
all2110;Chr;comp;2527552;2526947
alr2111;Chr;direct;2527742;2528419
alr2112;Chr;direct;2528424;2528975
all2113;Chr;comp;2530674;2529121
alr2114;Chr;direct;2530912;2532393
all2115;Chr;comp;2533326;2532454
all2116;Chr;comp;2534698;2533448
alr2117;Chr;direct;2535035;2536846
alr2118;Chr;direct;2537171;2537791
alr2119;Chr;direct;2537919;2539382
asr2120;Chr;direct;2539384;2539608
all2121;Chr;comp;2540601;2539609
alr2122;Chr;direct;2540872;2541480
alr2123;Chr;direct;2541480;2542862
all2124;Chr;comp;2548387;2543336
alr2125;Chr;direct;2548971;2549705
all2126;Chr;comp;2550892;2549963
all2127;Chr;comp;2552312;2550954
all2128;Chr;comp;2552822;2552484
all2129;Chr;comp;2555898;2553022
alr2130;Chr;direct;2556101;2556469
alr2131;Chr;direct;2556912;2558372
alr2132;Chr;direct;2558471;2559649
all2133;Chr;comp;2560230;2559898
all2134;Chr;comp;2561441;2560329
asr2135;Chr;direct;2562625;2562801
alr2136;Chr;direct;2563080;2563781
alr2137;Chr;direct;2564524;2567358
alr2138;Chr;direct;2567366;2567995
alr2139;Chr;direct;2568400;2568702
alr2140;Chr;direct;2569107;2569664
alr2141;Chr;direct;2569829;2570812
alr2142;Chr;direct;2570849;2571583
alr2143;Chr;direct;2571745;2572536
alr2144;Chr;direct;2572653;2572952
all2145;Chr;comp;2574247;2573297
all2146;Chr;comp;2576197;2574404
all2147;Chr;comp;2577714;2576629
all2148;Chr;comp;2580404;2577813
all2149;Chr;comp;2581642;2580623
asl2150;Chr;comp;2581924;2581757
asl2151;Chr;comp;2582603;2582400
all2152;Chr;comp;2583722;2582883
alr2153;Chr;direct;2584214;2586622
alr2154;Chr;direct;2586680;2587543
asr2155;Chr;direct;2587571;2587792
all2156;Chr;comp;2588247;2587831
all2157;Chr;comp;2589244;2588213
all2158;Chr;comp;2591956;2589320
all2159;Chr;comp;2593098;2592076
asr2160;Chr;direct;2593181;2593354
all2161;Chr;comp;2596387;2593463
all2162;Chr;comp;2598724;2596466
all2163;Chr;comp;2599276;2598767
all2164;Chr;comp;2599658;2599281
all2165;Chr;comp;2600718;2599675
all2166;Chr;comp;2602654;2601338
all2167;Chr;comp;2603377;2602880
alr2168;Chr;direct;2603383;2604570
alr2169;Chr;direct;2605145;2605627
all2170;Chr;comp;2608416;2605759
all2171;Chr;comp;2610853;2608409
asr2172;Chr;direct;2611093;2611350
alr2173;Chr;direct;2611347;2611700
alr2174;Chr;direct;2612058;2613053
alr2175;Chr;direct;2613234;2615825
alr2176;Chr;direct;2615954;2616922
all2177;Chr;comp;2618002;2617118
alr2178;Chr;direct;2618247;2619245
alr2179;Chr;direct;2619398;2620933
all2180;Chr;comp;2621806;2621495
asl2181;Chr;comp;2622089;2621958
asl2182;Chr;comp;2622555;2622319
all2183;Chr;comp;2623603;2622758
alr2184;Chr;direct;2623761;2624768
alr2185;Chr;direct;2624916;2627477
alr2186;Chr;direct;2627482;2628555
alr2187;Chr;direct;2628552;2629565
alr2188;Chr;direct;2629587;2630894
alr2189;Chr;direct;2631203;2632228
alr2190;Chr;direct;2632724;2634202
alr2191;Chr;direct;2634316;2635233
all2192;Chr;comp;2636316;2635534
all2193;Chr;comp;2636914;2636309
asl2194;Chr;comp;2637358;2637113
asl2195;Chr;comp;2637617;2637339
all2196;Chr;comp;2638230;2637832
asl2197;Chr;comp;2638453;2638217
all2198;Chr;comp;2639218;2638538
asl2199;Chr;comp;2639794;2639516
all2200;Chr;comp;2640982;2640422
alr2201;Chr;direct;2641726;2642241
alr2202;Chr;direct;2642444;2642968
alr2203;Chr;direct;2643001;2643852
alr2204;Chr;direct;2643855;2644841
alr2205;Chr;direct;2644877;2645218
asr2206;Chr;direct;2645313;2645531
alr2207;Chr;direct;2645595;2646443
alr2208;Chr;direct;2646871;2647866
alr2209;Chr;direct;2648025;2650673
alr2210;Chr;direct;2650904;2651896
alr2211;Chr;direct;2652134;2654698
alr2212;Chr;direct;2654776;2655756
alr2213;Chr;direct;2655775;2656752
alr2214;Chr;direct;2656752;2657630
alr2215;Chr;direct;2657732;2659039
all2216;Chr;comp;2660521;2659385
all2217;Chr;comp;2661419;2660694
all2218;Chr;comp;2662316;2661543
all2219;Chr;comp;2663396;2662530
all2220;Chr;comp;2664052;2663492
all2221;Chr;comp;2665654;2664152
all2222;Chr;comp;2667133;2665886
all2223;Chr;comp;2667630;2667169
all2224;Chr;comp;2668219;2667620
all2225;Chr;comp;2668741;2668286
alr2226;Chr;direct;2669096;2669836
all2227;Chr;comp;2671072;2670248
all2228;Chr;comp;2672098;2671097
